Course Number,Course Name,Area,Econ,Tech,Intel,IS,Mil Ops,TSV,USNP,Other,Notes
SEST-6654,"Disruptive Analytics: Theory, Method, & Technology",,,TECH,INTEL,,,,,,
SEST-6657,Economic Intelligence in Policymaking,,ECON,,INTEL,,,,,,
SEST-6658,Economy & Nat Sec: 21st cent,,ECON,,,,,,USNP,,
SEST-6659,African Armed Movements,AREA,,,,IS,,TSV,,,
SEST-6660,Responses to Violent Extremism,,,,,,,TSV,,,
SEST-6661,A New Great Power Competition,,,,,IS,,,USNP,,
SEST-6662,Power/Violence in Central Asia,AREA,,,,IS,,,,,
SEST-6663,Strategic Assessment: North Korea,AREA,,,,IS,,,,,
SEST-6665,Hands on Python for Cyber Security,,,TECH,,,,,,,
SEST-6668,National Security Crisis Decision Making,,,,,IS,MIL OPS,,USNP,,
SEST-6669,Hands-On Cybersecurity,,,TECH,,,,,,,
SEST-6672,National Cyber Security Strategy and Policy,,,TECH,,,MIL OPS,,USNP,,
SEST-6673,Conflict Stabilization,,,,,IS,,,,,
SEST-6674,Weapons of War,,,TECH,,,MIL OPS,,USNP,,
SEST-6675,The Art of War & Grand Strategy,,,,,,MIL OPS,,,,
SEST-6677,Russian National Security Policy,AREA,,,,IS,,,,,
SEST-6680,Naval Strategy,,,,,,MIL OPS,,USNP,,
SEST-6682,Russian Security in Eurasia/Beyond,AREA,,,,IS,,,,,
SEST-6683,Quantum Info Sci and Nat Sec,,,TECH,,,,,,,
SEST-6684,Russian Influence in Europe ,AREA,,,,IS,,,,,
SEST-6686,Maritime Sec/Great Power Comp,AREA,,,,IS,,,,,
SEST-6687,Black Sea Security,AREA,,,,IS,,,,,
SEST-6688,Irreg Warfare and Strat Compet,,,,,IS,,,USNP,,
SEST-6689,Weapons of Mass Destruction and Catastrophic Terrorism,,,TECH,,IS,,TSV,,,
SEST-6690,Migration and Security in the Arctic,AREA,,,,IS,,,,,
SEST-6691,True Crime & Amer Foreign Pol,,,,,,,,USNP,,
SEST-6692,"Conflict, Security, and Development ",,,,,IS,,TSV,USNP,,
SEST-6693,Domestic Terrorism,,,,,,,TSV,USNP,,
SEST-6696,Seapower in the Indo-Pacific,AREA,,,,IS,MIL OPS,,,,
SEST-6697,Conflict-related Sexual Violence,,,,,IS,,,,,
SEST-6698,Gender and War ,,,,,IS,MIL OPS,,,,
SEST-6699,Gender and SecurityToolbox,,,,,IS,,,,,
SEST 6700,Hunter(M) Gatherer(F) Nat Sec,,,,,,,,USNP,,
SEST-6701,Hacking for Defense ,,,TECH,,,,,USNP,,
SEST-6702,Jihadi-Salafi Violent Extremism,,,,,,,TSV,,,
SEST-6703,The Dark Arts,,,,,,MIL OPS,,,,
SEST-6705,Data Visualization,,,TECH,,,,,,,
SEST-6706,Soft Power and Nat Sec,,,,,IS,,,USNP,,Formerly Global Publics and Nat Sec.
SEST-6708,Mass Atrocities and International Law,,,,,IS,,,,,
